Temperature - (Celsius), Year, Statistics, Country, ISO3
3.80288, 1999, Dec Average, Afghanistan, AFG
1.62425, 2000, Jan Average, Afghanistan, AFG
1.92871, 2000, Feb Average, Afghanistan, AFG
7.48463, 2000, Mar Average, Afghanistan, AFG
16.4319, 2000, Apr Average, Afghanistan, AFG
21.7835, 2000, May Average, Afghanistan, AFG
23.1498, 2000, Jun Average, Afghanistan, AFG
24.749, 2000, Jul Average, Afghanistan, AFG
23.9989, 2000, Aug Average, Afghanistan, AFG
19.6963, 2000, Sep Average, Afghanistan, AFG
13.8838, 2000, Oct Average, Afghanistan, AFG
6.76671, 2000, Nov Average, Afghanistan, AFG
3.78914, 2000, Dec Average, Afghanistan, AFG
-0.231, 2001, Jan Average, Afghanistan, AFG
2.98913, 2001, Feb Average, Afghanistan, AFG
8.45549, 2001, Mar Average, Afghanistan, AFG
15.7349, 2001, Apr Average, Afghanistan, AFG
21.5411, 2001, May Average, Afghanistan, AFG
24.0585, 2001, Jun Average, Afghanistan, AFG
25.3915, 2001, Jul Average, Afghanistan, AFG
23.9876, 2001, Aug Average, Afghanistan, AFG
19.0645, 2001, Sep Average, Afghanistan, AFG
13.9918, 2001, Oct Average, Afghanistan, AFG
8.41102, 2001, Nov Average, Afghanistan, AFG
4.7063, 2001, Dec Average, Afghanistan, AFG
1.81099, 2002, Jan Average, Afghanistan, AFG
3.04201, 2002, Feb Average, Afghanistan, AFG
9.28162, 2002, Mar Average, Afghanistan, AFG
14.2283, 2002, Apr Average, Afghanistan, AFG
19.4492, 2002, May Average, Afghanistan, AFG
23.6676, 2002, Jun Average, Afghanistan, AFG
25.3288, 2002, Jul Average, Afghanistan, AFG
24.8584, 2002, Aug Average, Afghanistan, AFG
19.2846, 2002, Sep Average, Afghanistan, AFG
15.1623, 2002, Oct Average, Afghanistan, AFG
7.97555, 2002, Nov Average, Afghanistan, AFG
1.69601, 2002, Dec Average, Afghanistan, AFG
1.64129, 2003, Jan Average, Afghanistan, AFG
3.51946, 2003, Feb Average, Afghanistan, AFG
7.63327, 2003, Mar Average, Afghanistan, AFG
13.9795, 2003, Apr Average, Afghanistan, AFG
16.5732, 2003, May Average, Afghanistan, AFG
23.36, 2003, Jun Average, Afghanistan, AFG
25.8287, 2003, Jul Average, Afghanistan, AFG
24.3286, 2003, Aug Average, Afghanistan, AFG
19.5703, 2003, Sep Average, Afghanistan, AFG
14.2839, 2003, Oct Average, Afghanistan, AFG
6.45859, 2003, Nov Average, Afghanistan, AFG
2.58429, 2003, Dec Average, Afghanistan, AFG
2.40628, 2004, Jan Average, Afghanistan, AFG
5.05846, 2004, Feb Average, Afghanistan, AFG
10.6776, 2004, Mar Average, Afghanistan, AFG
14.5146, 2004, Apr Average, Afghanistan, AFG
19.4212, 2004, May Average, Afghanistan, AFG
23.5871, 2004, Jun Average, Afghanistan, AFG
25.2224, 2004, Jul Average, Afghanistan, AFG
24.3188, 2004, Aug Average, Afghanistan, AFG
19.8138, 2004, Sep Average, Afghanistan, AFG
12.3066, 2004, Oct Average, Afghanistan, AFG
9.41479, 2004, Nov Average, Afghanistan, AFG
3.10866, 2004, Dec Average, Afghanistan, AFG
0.33975, 2005, Jan Average, Afghanistan, AFG
0.80086, 2005, Feb Average, Afghanistan, AFG
9.18563, 2005, Mar Average, Afghanistan, AFG
13.5752, 2005, Apr Average, Afghanistan, AFG
