Country,Source,1990,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,
,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,12.0,  5,...,,...,,...,,...,,...,,...,,...,,...,,...,
El Salvador,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,3.1,,2.9,,2.8,,2.8,,2.8,,2.8,,...,,...,
Estonia,O,68.0,,72.0,,72.0,,72.0,,69.0,,69.0,,69.0,,69.0,,71.0,  1,71.0,  1,72.0,,74.0,,74.0,,74.0,,80.0,,80.0,,81.6,,81.7,,81.7,,82.2,,82.4,
Finland,O,76.0,,77.0,,78.0,,78.0,,79.0,,80.0,,80.0,,81.0,,81.0,,...,,...,,...,,...,,...,,...,,...,,83.0,,83.0,,83.0,,83.0,,...,
France,O,69.0,,77.0,  1,...,,...,,76.9,  3,...,,...,,79.4,,...,,...,,80.1,,...,,...,,...,,...,,...,,...,,81.5,  3,81.5,,81.5,,...,
French Guiana,U,...,,...,,...,,...,,0.0,,...,,...,,27.8,,...,,...,,44.0,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Germany,O,...,,88.5,  1,...,,...,,90.6,  1,...,,...,,94.2,,...,,...,,95.2,,...,,...,,95.9,,...,,...,,96.4,,...,,...,,96.8,,...,
Greece,O,...,,54.7,  1,...,,56.2,  1,...,,...,,...,,...,,...,,...,,...,,...,,...,,85.0,,...,,87.3,,87.3,,88.1,,92.0,,...,,...,
Guadeloupe,U,...,,...,,...,,...,,...,,...,,...,,40.1,,...,,...,,38.9,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Guinea,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,10.0,  6,10.0,  6,10.0,  6,11.0,  6,11.0,  6,...,,...,,...,,...,,...,
Guyana,U,0.0,,0.0,,...,,...,,...,,...,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,...,,...,,...,,...,,...,
Hungary,O,20.4,  1,20.5,  1,21.8,  1,23.5,  1,25.5,  1,28.6,  1,46.1,  1,49.4,  1,51.9,  1,54.9,  1,58.1,  1,60.6,  1,63.4,  1,66.5,  1,67.7,  1,68.8,  1,71.8,  1,72.5,  1,72.9,,72.8,,...,
Iceland,O,2.0,,4.0,,4.0,,4.0,,8.4,,16.4,,33.0,,33.0,,50.0,,50.0,,50.0,,57.0,,...,,...,,59.0,  1,...,,66.0,,...,,...,,...,,...,
Iraq,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,7.0,,...,,...,,...,,...,
Ireland,O,44.0,,57.6,,...,,...,,...,,66.0,,...,,70.0,,...,,...,,...,,...,,...,,62.8,,...,,75.1,,...,,64.7,,...,,65.5,,65.5,
Israel,O,76.7,,79.5,,...,,...,,...,,...,,86.6,,88.0,,89.3,,90.7,,92.1,,92.9,,93.5,,94.1,,94.5,,95.0,,95.5,,96.0,,96.3,,96.6,,96.7,
Italy,O,60.7,,63.0,,...,,...,,...,,48.9,,...,,...,,...,,...,,...,,56.5,,...,,...,,60.0,,88.0,,...,,...,,60.8,,...,,...,
Japan,O,44.0,,54.0,,...,,...,,...,,...,,62.0,,64.0,,65.0,,67.0,,68.1,,69.3,,71.0,,71.7,,72.7,,73.7,,75.1,,75.8,,76.3,,77.0,,77.6,
Jordan,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,59.0,,60.0,,62.0,,63.0,,63.0,,65.0,,67.0,,59.7,,...,,...,
Kenya,U,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,4.9,,...,,...,
Kuwait,U,...,,...,,...,,...,,...,,...,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,...,
Latvia,O,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,70.0,,70.8,,71.1,,65.7,,69.7,,67.6,,76.4,,75.6,,76.1,,76.7,
Lithuania,E,...,,...,,...,,...,,...,,...,,...,,...,,57.4,,59.1,,...,,...,,...,,...,,...,,...,,...,,...,,74.1,,...,,...,
Luxembourg,O,90.4,,87.5,,...,,...,,...,,93.0,,...,,...,,...,,94.8,,...,,...,,...,,...,,...,,...,,95.7,,95.0,,98.1,,98.2,,98.5,
Madagascar,U,0.0,  7,0.0,  7,...,,...,,...,,0.0,  7,0.0,  7,0.0,  7,0.0,  7,0.0,  7,0.0,  7,0.0,  7,...,,...,,...,,...,,...,,...,,...,,...,,...,
Malaysia,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,66.2,,69.3,,73.1,,73.7,,72.5,,73.7,,...,,...,
Maldives,U,...,,...,,...,,...,,...,,...,,...,,35.0,,35.0,,35.0,,35.0,,35.0,,35.0,,35.0,,38.0,,41.0,,47.0,,50.0,,50.0,,...,,...,
Malta,E,13.0,,13.0,,13.0,,13.0,,13.0,,13.0,,13.8,,14.0,,15.8,,16.1,,13.3,,13.2,,9.3,,8.4,,14.8,,21.7,,20.7,,100.0,  3,100.0,,100.0,,...,
Marshall Islands,U,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,...,,...,,...,,...,,...,,...,,...,
Martinique,U,...,,...,,...,,...,,...,,...,,...,,44.3,,...,,...,,48.2,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Mauritius,U,10.0,,10.0,,10.0,,10.0,,10.0,,15.0,,20.0,,...,,...,,...,,...,,...,,...,,19.0,  8,19.4,  8,19.5,  9,20.1,  9,21.0,  9,22.2,  9,...,,...,
Mexico,O,...,,...,,...,,...,,...,,...,,22.9,,25.2,,27.7,,29.7,,31.5,,35.0,,36.1,,38.3,,40.2,,42.1,,44.8,,46.5,,47.5,,50.2,,...,
Monaco,U,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,...,,...,
Montenegro,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,10.0,,11.0,,15.0,,17.0,,18.0,,18.0,,18.0,,18.0,,...,,...,
Morocco,U,...,,...,,...,,...,,...,,...,,80.0,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Netherlands,O,94.0,  1,96.7,  1,97.1,  1,97.5,  1,97.8,  1,97.9,  1,98.2,,98.3,,98.5,,98.6,,98.8,,99.0,,99.1,,...,,99.3,,...,,99.3,,...,,99.4,,...,,...,
New Zealand,O,80.0,,80.0,,80.0,,80.0,,80.0,,80.0,,80.8,,80.5,,80.5,,80.8,,81.1,,81.3,,81.5,,81.6,,81.7,,81.7,,81.8,,82.0,,82.0,,82.0,,82.0,
Norway,O,57.0,  1,67.0,  1,67.0,  1,70.0,  1,73.0,  1,73.0,  1,74.1,,73.7,,73.9,,75.2,,76.0,,78.6,,79.0,,78.7,,78.9,,80.6,,81.1,,81.3,,81.7,,81.9,,...,
Panama,U,...,,...,,...,,...,,...,,...,,30.0,,31.0,,33.0,,34.0,,36.0,,46.0,,48.0,,55.0,,...,,...,,...,,...,,...,,...,,...,
Poland,O,...,,42.4,  1,43.1,  1,47.1,  1,49.7,  1,52.1,  1,53.6,,55.3,  1,56.7,,58.2,,59.0,,60.2,,61.4,,62.3,  1,63.1,,64.2,,64.7,,65.7,,68.7,,70.3,,71.5,
Portugal,O,20.9,,...,,...,,...,,44.0,  1,...,,...,,...,,57.0,,60.0,,...,,65.0,,71.7,,69.0,,70.0,,70.6,,...,,...,,...,,...,,...,
Republic of Korea,O,32.9,,45.2,,52.6,,60.9,,65.9,,68.4,,70.5,,73.2,,75.8,,78.8,,81.4,,83.5,,85.5,,87.1,,88.6,,89.4,,90.1,,90.9,,91.6,,92.1,,...,
Republic of Moldova,U,...,,...,,...,,...,,...,,53.0,,54.0,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
RŽunion,U,...,,...,,...,,...,,0.0,,...,,...,,32.2,,...,,...,,35.9,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Romania,E,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,27.2,,27.5,,28.0,,28.3,,28.6,,28.9,,30.7,,40.0,,40.6,,44.3,,44.9,
Saint Kitts and Nevis,U,...,,...,,...,,...,,...,,...,,...,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,...,,...,
Serbia,U,...,,...,,...,,...,,...,,...,,5.6,,5.9,,6.3,,6.8,,7.2,,7.9,,8.5,,8.3,,8.7,,10.0,,10.2,,10.9,,10.9,,...,,...,
